Name, Height (Inches), Height(Feet-Inches), Weight,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Thomas Robinson,81, 6-9,240,390,PF,23,TOT,54,4,14.8,2.3,4.8,.485,0.0,0.0,.000,2.3,4.8,.488,.485,1.0,2.0,.528,1.8,3.9,5.6,0.6,0.6,0.4,1.1,1.9,5.7
Tim Duncan,83, 6-11,248,137,C,38,SAS,77,77,28.9,5.4,10.6,.512,0.0,0.1,.286,5.4,10.5,.514,.513,3.0,4.0,.740,2.2,6.9,9.1,3.0,0.8,2.0,1.7,2.1,13.9
Tim Hardaway,72, 6-0,175,196,SG,22,NYK,70,30,24.0,4.0,10.2,.389,1.7,5.1,.342,2.3,5.2,.435,.474,1.8,2.2,.801,0.2,2.1,2.2,1.8,0.3,0.2,1.2,1.7,11.5
Timofey Mozgov,85, 7-1,250,335,C,28,TOT,81,80,25.2,3.9,7.0,.555,0.0,0.1,.333,3.9,6.9,.557,.557,1.9,2.7,.718,2.5,4.8,7.3,0.7,0.4,1.2,1.4,2.8,9.7
Tobias Harris,80, 6-8,226,202,SF,22,ORL,68,63,34.8,6.5,14.0,.466,1.3,3.5,.364,5.2,10.4,.500,.512,2.8,3.6,.788,1.1,5.3,6.3,1.8,1.0,0.5,1.7,2.0,17.1
Toney Douglas,74, 6-2,190,130,SG,28,NOP,12,0,14.8,1.6,4.3,.373,0.4,1.5,.278,1.2,2.8,.424,.422,0.7,1.1,.615,0.2,1.7,1.8,2.0,0.9,0.3,0.8,1.7,4.3
Tony Allen,76, 6-4,213,11,SG,33,MEM,63,41,26.2,3.6,7.2,.495,0.2,0.5,.345,3.4,6.8,.505,.505,1.3,2.0,.627,1.6,2.8,4.4,1.4,2.0,0.5,1.4,2.6,8.6
Tony Parker,74, 6-2,180,358,PG,32,SAS,68,68,28.7,5.9,12.2,.486,0.6,1.3,.427,5.4,10.9,.493,.508,1.9,2.4,.783,0.2,1.7,1.9,4.9,0.6,0.0,2.1,1.6,14.4
Tony Snell,79, 6-7,200,419,SF,23,CHI,72,22,19.6,2.2,5.2,.429,1.0,2.7,.371,1.2,2.4,.494,.527,0.6,0.8,.800,0.4,2.0,2.4,0.9,0.4,0.2,0.7,1.2,6.0
Tony Wroten,77, 6-5,205,487,PG,21,PHI,30,15,29.8,5.8,14.5,.403,1.2,4.7,.261,4.6,9.7,.473,.446,4.0,6.0,.667,0.7,2.1,2.9,5.2,1.6,0.3,3.8,2.4,16.9
Trevor Ariza,80, 6-8,200,22,SF,29,HOU,82,82,35.7,4.5,11.1,.402,2.4,6.8,.350,2.1,4.3,.485,.509,1.5,1.7,.853,0.9,4.7,5.6,2.5,1.9,0.2,1.7,2.3,12.8
Trevor Booker,79, 6-7,240,57,PF,27,UTA,79,5,19.8,2.9,5.9,.487,0.4,1.1,.345,2.5,4.8,.518,.518,1.1,1.9,.581,1.8,3.3,5.0,1.1,0.5,0.5,1.1,1.8,7.2
Trey Burke,72, 6-0,190,71,PG,22,UTA,76,43,30.1,4.9,13.2,.368,1.6,5.1,.318,3.2,8.1,.400,.430,1.4,1.9,.752,0.4,2.3,2.7,4.3,0.9,0.2,1.6,1.6,12.8
Troy Daniels,76, 6-4,200,114,SG,23,TOT,47,0,8.4,1.3,3.5,.370,0.9,2.5,.364,0.4,1.0,.383,.500,0.2,0.3,.846,0.2,0.5,0.7,0.5,0.1,0.0,0.4,0.9,3.7
Ty Lawson,71, 5-11,195,274,PG,27,DEN,75,75,35.5,5.4,12.3,.436,0.9,2.7,.341,4.5,9.6,.463,.474,3.5,4.8,.730,0.6,2.6,3.1,9.6,1.2,0.1,2.5,1.7,15.2
Tyler Hansbrough,81, 6-9,250,195,PF,29,TOR,74,8,14.3,1.2,2.2,.521,0.0,0.1,.143,1.1,2.1,.538,.524,1.3,1.9,.698,1.4,2.1,3.6,0.3,0.4,0.2,0.3,1.9,3.6
Tyreke Evans,78, 6-6,220,147,SG,25,NOP,79,76,34.1,6.6,14.7,.447,0.9,2.9,.304,5.7,11.9,.482,.477,2.6,3.7,.694,1.0,4.2,5.3,6.6,1.3,0.5,3.1,2.5,16.6
Udonis Haslem,80, 6-8,230,203,PF,34,MIA,62,25,16.0,1.7,3.9,.448,0.0,0.2,.200,1.7,3.7,.459,.452,0.7,1.0,.703,1.1,3.0,4.2,0.7,0.3,0.2,0.7,1.8,4.2
Vander Blue,76, 6-4,200,53,SG,22,LAL,2,1,37.0,4.5,15.0,.300,1.0,5.0,.200,3.5,10.0,.350,.333,1.0,2.5,.400,1.0,3.5,4.5,4.0,1.5,0.0,3.0,2.0,11.0
Victor Oladipo,77, 6-5,214,351,SG,22,ORL,72,71,35.7,6.6,15.1,.436,1.2,3.4,.339,5.4,11.6,.464,.474,3.6,4.4,.819,0.7,3.5,4.2,4.1,1.7,0.3,2.8,2.6,17.9
Vince Carter,78, 6-6,215,85,SG,38,MEM,66,1,16.5,2.0,6.2,.333,1.0,3.5,.297,1.0,2.6,.379,.417,0.7,0.9,.789,0.4,1.6,2.0,1.2,0.7,0.2,0.7,1.5,5.8
Wayne Ellington,76, 6-4,200,141,SG,27,LAL,65,36,25.8,3.9,9.5,.412,1.4,3.7,.370,2.5,5.8,.439,.485,0.8,1.0,.813,0.5,2.8,3.2,1.6,0.5,0.0,0.8,1.2,10.0
Wesley Johnson,79, 6-7,205,249,SF,27,LAL,76,59,29.5,3.8,9.1,.414,1.2,3.4,.351,2.6,5.7,.451,.480,1.2,1.5,.804,0.9,3.3,4.2,1.6,0.8,0.6,1.1,2.1,9.9
Wesley Matthews,77, 6-5,220,300,SG,28,POR,60,60,33.7,5.6,12.5,.448,2.9,7.4,.389,2.7,5.1,.534,.563,1.8,2.4,.752,0.6,3.1,3.7,2.3,1.3,0.2,1.4,2.2,15.9
Will Barton,78, 6-6,174,35,SG,24,TOT,58,0,16.9,2.6,6.1,.425,0.4,1.5,.271,2.2,4.6,.474,.458,1.3,1.6,.787,0.4,2.3,2.8,1.4,0.8,0.3,1.1,1.2,6.8
Will Bynum,72, 6-0,185,77,SG,32,WAS,7,0,9.6,1.4,4.4,.323,0.0,1.3,.000,1.4,3.1,.455,.323,0.3,0.6,.500,0.3,0.6,0.9,2.6,0.1,0.1,1.1,1.3,3.1
Willie Green,76, 6-4,200,189,SG,33,ORL,52,2,18.3,2.3,5.9,.386,0.8,2.3,.347,1.5,3.6,.411,.454,0.5,0.7,.824,0.3,1.3,1.5,1.3,0.5,0.1,0.9,1.6,5.9
Wilson Chandler,80, 6-8,220,90,SF,27,DEN,78,75,31.7,5.4,12.5,.429,1.8,5.2,.342,3.6,7.3,.490,.500,1.4,1.8,.775,1.2,4.9,6.1,1.7,0.7,0.4,1.4,3.0,13.9
Zach Randolph,81, 6-9,253,380,PF,33,MEM,71,71,32.5,6.4,13.1,.487,0.1,0.3,.350,6.3,12.8,.490,.491,3.2,4.2,.765,3.2,7.4,10.5,2.2,1.0,0.2,2.2,2.5,16.1
Zaza Pachulia,83, 6-11,240,354,C,30,MIL,73,45,23.7,3.3,7.2,.454,0.0,0.0,.000,3.3,7.2,.456,.454,1.7,2.2,.788,2.7,4.2,6.8,2.4,1.1,0.3,1.8,2.3,8.3
